z(ft) res(ohmm) z(m)
507.58421354639 5.2871567209698 154.70411872795
508.90235080248 10.296078294094 155.10586735827
509.42960570491 20.050293989126 155.2665668104
510.48411550978 20.050293989126 155.58796571465
511.27499786343 10.296078294094 155.82901489285
511.80225276586 5.0235292697527 155.98971434497
513.12039002195 3.1781371112331 156.3914629753
518.39293904629 3.4417645624502 157.99845749658
529.99254689984 3.4417645624502 161.53384544341
539.74676259487 4.7599018185356 164.50678530779
549.23735083869 6.078039074621 167.39937544611
560.30970378981 5.5507841721868 170.77406394081
569.00940967997 6.8689214282722 173.42560490094
575.6000959604 7.6598037819234 175.43434805254
582.98166459447 4.7599018185356 177.68414038234
594.05401754559 5.0235292697527 181.05882887705
605.65362539914 5.0235292697527 184.59421682388
613.56244893566 7.9234312331405 187.00470860581
622.26215482582 6.8689214282722 189.65624956593
631.48911561842 7.9234312331405 192.46848997818
636.76166464276 4.4962743673185 194.07548449947
645.46137053292 4.7599018185356 196.72702545959
648.62489994753 8.4506861355747 197.69122217237
651.2611744597 5.2871567209698 198.49471943301
654.4247038743 3.4417645624502 199.45891614578
658.64274309378 3.9690194648844 200.74451176281
662.86078231325 5.8144116234039 202.03010737984
667.60607643516 3.1781371112331 203.476402449
674.72401761802 4.7599018185356 205.64584505273
680.26019409358 5.8144116234039 207.33318930009
683.42372350818 5.2871567209698 208.29738601286
687.37813527644 2.9145096600161 209.50263190382
691.85980194713 4.7599018185356 210.86857724692
696.34146861782 3.9690194648844 212.23452259001
702.14127254459 3.1781371112331 214.00221656342
710.31372353232 3.4417645624502 216.49305807142
718.74980197127 5.8144116234039 219.06424930548
723.75872354439 6.8689214282722 220.5908941007
730.61303727604 5.2871567209698 222.67998697837
739.57637061742 3.7053920136673 225.41187766456
747.22156670271 5.2871567209698 227.74201972042
758.29391965383 4.7599018185356 231.11670821513
769.10264515373 3.1781371112331 234.41104698376
778.59323339755 4.2326469161014 237.30363712208
789.40195889745 5.2871567209698 240.59797589072
798.62891969005 5.0235292697527 243.41021630297
811.01940989725 3.4417645624502 247.18665342799
824.2007824581 3.4417645624502 251.20413973121
842.39107659208 4.4962743673185 256.74827082965
852.40891973833 6.078039074621 259.80156042009
863.74490014066 3.7053920136673 263.25659864086
877.71715505517 4.2326469161014 267.51513412227
886.41686094533 3.1781371112331 270.16667508239
902.49813546957 3.9690194648844 275.06800837232
914.88862567678 4.2326469161014 278.84444549734
922.27019431086 4.7599018185356 281.09423782714
925.17009627424 2.9145096600161 281.97808481385
933.34254726197 3.9690194648844 284.46892632184
939.14235118875 3.7053920136673 286.23662029526
943.88764531066 3.7053920136673 287.68291536442
951.53284139595 3.1781371112331 290.01305742028
958.12352767638 3.4417645624502 292.02180057189
966.03235121289 2.9145096600161 294.43229235382
972.88666494453 3.7053920136673 296.52138523149
978.95009632253 6.3416665258381 298.36942893098
985.27715515174 4.4962743673185 300.29782235652
991.86784143216 5.0235292697527 302.30656550813
999.51303751746 6.3416665258381 304.63670756399
1005.8400963467 4.2326469161014 306.56510098955
1015.5943120417 3.9690194648844 309.53804085392
1023.239508127 3.1781371112331 311.86818290978
1035.1027434318 4.2326469161014 315.48392058269
1047.2296061878 3.9690194648844 319.18000798165
1056.9838218828 4.2326469161014 322.15294784602
1067.001665029 4.2326469161014 325.20623743645
1076.7558807241 2.9145096600161 328.17917730085
1088.3554885776 3.7053920136673 331.71456524767
1093.628037602 3.4417645624502 333.32155976897
1097.318821919 5.5507841721868 334.44645593386
1100.4823513336 3.9690194648844 335.41065264663
1105.2276454555 5.2871567209698 336.85694771579
1120.5180376261 5.8144116234039 341.51723182752
1124.4724493944 2.3872547575819 342.7224777185
1132.3812729309 3.7053920136673 345.13296950043
1145.2990180405 3.1781371112331 349.07010607757
