-4568.8	1489.7	-4618.8	1562.5	-4618.8	1937.5	-4568.8	2098.9
-4468.8	1489.7	-4318.8	1562.5	-4018.8	1937.5	-4468.8	2098.9
-4368.8	1489.7	-718.8	1462.5	-1118.8	1587.5	-4368.8	2098.9
-4268.8	1489.7	1681.2	1412.5	781.2	1587.5	-4268.8	2098.9
-4168.8	1465.4	2981.2	1387.5	1881.2	1462.5	-4168.8	2074.6
-4068.8	1464.4	4481.2	1362.5	4481.2	1462.5	-4068.8	2073.6
-3968.8	1464.4	5081.2	1337.5	4581.2	1412.5	-3968.8	2073.6
-3868.8	1464.4	5181.2	1287.5	5881.2	1412.5	-3868.8	2073.6
-3768.8	1464.4	5481.2	1237.5	5981.2	1387.5	-3768.8	2073.6
-3668.8	1464.4	5881.2	1237.5	6581.2	1387.5	-3668.8	2073.6
-3568.8	1464.4	6181.2	1287.5	6781.2	1362.5	-3568.8	2073.6
-3468.8	1464.4	6881.2	1287.5	6881.2	1362.5	-3468.8	2069.1
-3368.8	1464.4					-3368.8	2054.1
-3268.8	1464.4					-3268.8	2048.3
-3168.8	1464.4					-3168.8	2048.3
-3068.8	1463.4					-3068.8	2048.3
-2968.8	1459.3					-2968.8	2048.3
-2868.8	1464.4					-2868.8	2048.3
-2768.8	1463.1					-2768.8	2048.3
-2668.8	1464.4					-2668.8	2048.3
-2568.8	1464.4					-2568.8	2048.3
-2468.8	1461.7					-2468.8	2048.3
-2368.8	1454.9					-2368.8	2048.3
-2268.8	1454.9					-2268.8	2048.3
-2168.8	1454.4					-2168.8	2048.3
-2068.8	1444.5					-2068.8	2048.3
-1968.8	1450.8					-1968.8	2048.3
-1868.8	1442.7					-1868.8	2048.3
-1768.8	1442.7					-1768.8	2048.3
-1668.8	1439.1					-1668.8	2043.6
-1568.8	1439.1					-1568.8	2031.1
-1468.8	1436.2					-1468.8	2023.0
-1368.8	1430.0					-1368.8	2023.0
-1268.8	1419.5					-1268.8	2023.0
-1168.8	1413.8					-1168.8	2023.0
-1068.8	1408.9					-1068.8	2023.0
-968.8	1388.5					-968.8	2023.0
-868.8	1386.4					-868.8	2023.0
-768.8	1376.0					-768.8	2023.0
-668.8	1369.7					-668.8	2023.0
-568.8	1363.2					-568.8	2023.0
-468.8	1360.1					-468.8	2023.0
-368.8	1347.4					-368.8	2023.0
-268.8	1337.9					-268.8	2020.1
-168.8	1337.9					-168.8	2007.6
-68.8	1337.9					-68.8	1997.7
31.2	1337.9					31.2	1997.7
131.2	1337.9					131.2	1997.7
231.2	1337.9					231.2	1997.7
331.2	1337.9					331.2	1997.7
431.2	1337.9					431.2	1997.7
531.2	1337.9					531.2	1997.7
631.2	1337.9					631.2	1997.7
731.2	1337.9					731.2	1996.1
831.2	1337.9					831.2	1983.5
931.2	1337.9					931.2	1972.4
1031.2	1337.9					1031.2	1972.4
1131.2	1337.9					1131.2	1972.4
1231.2	1337.9					1231.2	1972.4
1331.2	1337.9					1331.2	1972.4
1431.2	1337.9					1431.2	1972.4
1531.2	1337.9					1531.2	1972.4
1631.2	1337.9					1631.2	1959.3
1731.2	1337.9					1731.2	1947.1
1831.2	1337.9					1831.2	1947.1
1931.2	1337.9					1931.2	1947.1
2031.2	1337.9					2031.2	1947.1
2131.2	1337.9					2131.2	1947.1
2231.2	1337.9					2231.2	1947.1
2331.2	1333.1					2331.2	1947.1
2431.2	1314.3					2431.2	1947.1
2531.2	1312.6					2531.2	1947.1
2631.2	1312.6					2631.2	1935.2
2731.2	1312.6					2731.2	1922.7
2831.2	1312.6					2831.2	1921.8
2931.2	1312.6					2931.2	1921.8
3031.2	1312.6					3031.2	1921.8
3131.2	1312.6					3131.2	1921.8
3231.2	1312.6					3231.2	1921.8
3331.2	1302.1					3331.2	1921.8
3431.2	1297.4					3431.2	1921.8
3531.2	1289.1					3531.2	1903.6
3631.2	1287.4					3631.2	1896.6
3731.2	1287.4					3731.2	1896.6
3831.2	1287.4					3831.2	1896.6
3931.2	1281.5					3931.2	1896.6
4031.2	1274.0					4031.2	1896.6
4131.2	1269.1					4131.2	1896.6
4231.2	1265.8					4231.2	1896.6
4331.2	1262.1					4331.2	1896.6
4431.2	1262.1					4431.2	1886.9
4531.2	1262.1					4531.2	1876.6
4631.2	1262.1					4631.2	1887.2
4731.2	1257.3					4731.2	1871.3
4831.2	1244.9					4831.2	1871.3
4931.2	1238.6					4931.2	1871.3
5031.2	1236.8					5031.2	1871.3
5131.2	1236.8					5131.2	1871.3
5231.2	1236.8					5231.2	1862.7
5331.2	1236.8					5331.2	1850.1
5431.2	1233.5					5431.2	1846.0
5531.2	1221.4					5531.2	1846.0
5631.2	1217.2					5631.2	1846.0
5731.2	1213.1					5731.2	1846.0
5831.2	1211.5					5831.2	1846.0
5931.2	1211.5					5931.2	1846.0
6031.2	1211.5					6031.2	1846.0
6131.2	1211.5					6131.2	1846.0
6231.2	1211.5					6231.2	1846.0
6331.2	1211.5					6331.2	1846.0
6431.2	1211.5					6431.2	1846.0
6531.2	1211.5					6531.2	1838.1
6631.2	1211.5					6631.2	1820.7
6731.2	1205.0					6731.2	1820.7
6831.2	1194.9					6831.2	1820.9
